Gender,Age Group,District,Occupation,Education,Income range,Smartphone,Mobile banking user,Number of apps,First impression,Years,How often,How far,Rate,Easy to learn,Security,CounterVsMapp,Recommend
Male,25 -35,Jaffna,Private Sector Job,Degree or above,"70,000-100,000",Yes,Yes,4 +,Advertisement,1-2 years,Weekly  Once,1Km to 5Km,4,4,4,3,Maybe
Female,18 - 25,Jaffna,Other,A/L,Below 30000,Yes,Yes,1-4,Bank,Below 1 year,Daily Once,1Km to 5Km,3,4,4,5,Yes
Male,25 -35,Mullaitivu,Private Sector Job,A/L,"30,000-70,000",Yes,Yes,1-4,Bank,Below 1 year,Weekly  Once,More than 5 Km,3,2,3,3,Maybe
Female,25 -35,Jaffna,Private Sector Job,Degree or above,"30,000-70,000",Yes,Yes,4 +,Bank,2+ years,Monthly Once,100m to 1Km,5,5,4,3,Yes
Male,25 -35,Colombo,Private Sector Job,Degree or above,"70,000-100,000",Yes,Yes,0,Friends,Below 1 year,Daily Once,1Km to 5Km,4,4,3,3,Yes
Male,25 -35,Jaffna,Private Sector Job,Diploma,Below 30000,Yes,Yes,1-4,Bank,2+ years,Daily Once,1Km to 5Km,5,5,5,5,Yes
Male,25 -35,Colombo,Private Sector Job,Degree or above,"150,000+",Yes,Yes,4 +,Bank,2+ years,Weekly  Several Times,1Km to 5Km,4,5,4,4,Yes
Male,25 -35,Colombo,Private Sector Job,Degree or above,"70,000-100,000",Yes,Yes,0,Friends,Below 1 year,Daily Once,1Km to 5Km,4,4,3,3,Yes
Male,25 -35,Colombo,Private Sector Job,Degree or above,"150,000+",Yes,Yes,4 +,Internet or Article,2+ years,Weekly  Once,100m to 1Km,4,4,3,4,Yes
Female,25 -35,Kilinochchi,Government Job,Degree or above,"30,000-70,000",Yes,No,1-4,Friends,Below 1 year,Yearly  Once,More than 5 Km,4,4,3,5,Yes
